Unnamed: 0,Bonus_miles,ID#,clust,cc1_miles,cc2_miles,cc3_miles
0,174,1,1,1,1,1
1,215,2,1,1,1,1
2,4123,3,1,1,1,1
3,500,4,1,1,1,1
4,43300,5,3,4,1,1
5,0,6,1,1,1,1
6,27482,7,3,3,1,1
7,5250,8,1,1,1,1
8,1753,9,2,3,2,1
9,28426,10,3,3,1,1
10,7278,11,1,2,1,1
11,61105,12,3,5,1,1
12,11150,13,1,2,1,1
13,3258,14,1,1,1,1
14,0,15,1,1,1,1
15,49442,16,3,4,1,1
16,48963,17,3,4,1,1
17,4291,18,1,1,1,1
18,27408,19,3,3,1,1
19,10447,20,3,3,1,1
20,58831,21,3,5,1,1
21,13300,22,0,1,1,1
22,3450,23,1,1,1,1
23,2533,24,1,1,1,1
24,4025,25,1,1,1,1
25,1375,26,1,1,1,1
26,1227,27,1,1,1,1
27,0,28,1,1,1,1
28,33772,29,3,3,1,1
29,4655,30,1,1,1,1
30,20797,31,3,3,1,1
31,0,32,1,1,1,1
32,42044,33,3,4,1,1
33,100,34,1,1,1,1
34,0,35,1,1,1,1
35,50572,36,3,4,1,1
36,650,37,1,1,1,1
37,350,38,1,1,1,1
38,27878,39,3,3,1,1
39,0,40,1,1,1,1
40,1750,41,1,1,1,1
41,38094,42,3,4,1,1
42,10000,43,0,1,1,1
43,15008,44,3,3,1,1
44,18493,45,3,3,1,1
45,23600,46,3,1,1,1
46,11214,47,1,2,1,1
47,5900,48,1,1,1,1
48,34678,49,3,3,1,1
49,1150,50,1,1,1,1
50,6368,51,0,1,1,1
51,370,52,1,1,1,1
52,44577,53,3,4,1,1
53,4970,54,1,1,1,1
54,0,55,1,1,1,1
55,1625,56,1,1,1,1
56,34339,57,3,4,1,1
57,3100,58,1,1,1,1
58,34024,59,3,3,1,1
59,23188,60,3,3,1,1
60,15588,61,3,3,1,1
61,17601,62,1,1,1,1
62,0,63,1,1,1,1
63,28079,64,1,1,1,1
64,895,65,1,1,1,1
65,33767,66,0,3,1,1
66,1750,67,1,1,1,1
67,35287,68,3,4,1,1
68,24047,69,3,3,1,1
69,12621,71,3,3,1,1
70,15436,72,3,2,1,1
71,39787,73,3,4,1,1
72,12500,74,3,3,1,1
73,631,75,1,1,1,1
74,25308,76,3,3,1,1
75,15776,78,3,3,1,1
76,7537,79,1,1,1,1
77,32883,80,3,4,1,1
78,38037,81,3,4,1,1
79,76988,82,3,5,1,1
80,32685,83,1,1,1,1
81,1200,84,1,1,1,1
82,498,85,1,1,1,1
83,1625,86,1,1,1,1
84,1750,87,1,1,1,1
85,58557,88,3,5,1,1
86,7719,89,1,1,1,1
87,21422,90,3,3,1,1
88,7672,91,1,2,1,1
89,3500,92,1,1,1,1
90,22250,93,1,1,1,1
91,2000,94,1,1,1,1
92,36679,95,3,4,1,1
93,5000,96,1,1,1,1
94,110859,97,0,5,1,1
95,2875,98,1,1,1,1
96,5560,99,1,1,1,1
97,44247,100,3,4,1,1
98,1375,101,1,1,1,1
99,20184,102,3,3,1,1
100,57203,103,3,5,1,1
101,0,104,1,1,1,1
102,0,105,1,1,1,1
103,3861,106,1,1,1,1
104,0,107,1,1,1,1
105,61096,108,3,5,1,1
106,49059,109,4,1,1,3
107,0,110,1,1,1,1
108,46335,111,3,4,1,1
109,32917,112,3,4,1,1
110,18415,113,3,3,1,1
111,8550,114,0,1,1,1
112,66330,115,0,5,1,1
113,2015,116,1,1,1,1
114,5422,117,3,1,1,1
115,23260,118,3,3,1,1
116,7346,119,1,2,1,1
117,2500,120,3,1,1,1
118,24222,121,3,3,1,1
119,2625,122,1,1,1,1
120,1000,123,1,1,1,1
121,126630,124,3,5,1,1
122,37266,125,3,4,1,1
123,24768,126,3,3,1,1
124,42775,127,3,4,1,1
125,37670,128,3,4,1,1
126,194753,129,3,5,1,1
127,56308,130,0,4,1,1
128,10123,131,3,2,1,1
129,37461,132,3,4,1,1
130,0,133,1,1,1,1
131,1095,134,1,1,1,1
132,8000,135,1,1,1,1
133,10850,136,1,1,1,1
134,15155,137,3,3,1,1
135,19172,138,0,1,1,1
136,29099,139,3,4,1,1
137,53552,140,3,4,1,1
138,8578,141,3,1,1,1
139,3500,142,1,1,1,1
140,0,143,1,1,1,1
141,0,144,1,1,1,1
142,450,145,1,1,1,1
143,35021,146,3,4,1,1
144,16857,147,3,3,1,1
145,7600,148,1,1,1,1
146,100,149,1,1,1,1
147,58208,150,3,5,1,1
148,20415,151,3,3,1,1
149,205,152,1,1,1,1
150,42403,153,3,4,1,1
151,211284,154,3,5,1,1
152,60808,155,3,5,1,1
153,4581,156,1,1,1,1
154,37655,157,3,4,1,1
155,52574,158,3,4,1,1
156,19926,159,3,3,1,1
157,12313,160,3,3,1,1
158,59852,161,3,5,1,1
159,5860,162,1,1,1,1
160,18500,163,3,3,1,1
161,55323,164,3,5,1,1
162,18604,165,1,1,1,1
163,30298,166,3,4,1,1
164,15489,167,3,3,1,1
165,180,168,1,1,1,1
166,5269,169,1,1,1,1
167,74800,170,3,5,1,1
168,44615,171,3,4,1,1
169,45230,172,3,4,1,1
170,67335,173,3,5,1,1
171,0,174,1,1,1,1
172,23740,175,3,3,1,1
173,15656,176,3,1,1,1
174,42301,177,3,4,1,1
175,43533,178,3,4,1,1
176,7357,179,3,1,1,1
177,7368,180,3,2,1,1
178,500,181,1,1,1,1
179,1125,182,1,1,1,1
180,10735,183,1,1,1,1
181,17086,184,3,3,1,1
182,50,186,1,1,1,1
183,8860,187,3,2,1,1
184,23640,188,3,3,1,1
185,11694,189,3,3,1,1
186,57173,190,0,4,1,1
187,3250,191,1,1,1,1
188,73679,192,3,5,1,1
189,2954,193,1,1,1,1
190,240544,194,3,5,1,1
191,44373,195,0,4,1,1
192,107813,196,3,5,1,1
193,0,197,1,1,1,1
194,100,198,1,1,1,1
195,0,199,1,1,1,1
196,61857,200,3,5,1,1
197,19670,201,3,3,1,1
198,11397,202,2,1,3,1
199,36001,203,3,4,1,1
200,26948,204,3,4,1,1
201,13878,205,3,2,1,1
202,486,206,1,1,1,1
203,79687,207,3,5,1,1
204,0,208,1,1,1,1
205,2278,209,1,1,1,1
206,92159,210,3,5,1,1
207,3694,211,1,1,1,1
208,18009,212,3,3,1,1
209,0,213,1,1,1,1
210,99612,214,3,5,1,1
211,2947,215,1,1,1,1
212,4671,216,1,1,1,1
213,20087,217,3,3,1,1
214,2700,218,1,1,1,1
215,27308,219,3,4,1,1
216,1134,220,1,1,1,1
217,7069,221,1,1,1,1
218,24156,222,3,3,1,1
219,45891,223,3,4,1,1
220,90653,224,0,5,1,1
221,68754,225,3,5,1,1
222,2750,226,1,1,1,1
223,750,227,1,1,1,1
224,10849,228,3,3,1,1
225,5570,229,1,2,1,1
226,6448,230,2,1,2,1
227,36362,231,3,4,1,1
228,7164,232,1,2,1,1
229,58689,233,3,5,1,1
230,23987,234,3,3,1,1
231,56524,235,3,5,1,1
232,6039,236,1,1,1,1
233,8764,237,3,2,1,1
234,9057,238,3,2,1,1
235,19489,239,3,2,1,1
236,3125,240,1,1,1,1
237,8471,241,3,1,1,1
238,97683,242,0,5,1,1
239,3853,243,1,1,1,1
240,88987,244,3,5,1,1
241,5002,245,1,2,1,1
242,41186,246,3,4,1,1
243,66222,247,0,5,1,1
244,141615,248,3,5,1,1
245,56076,249,0,4,1,1
246,5300,250,1,1,1,1
247,4425,251,1,1,1,1
248,60990,252,3,5,1,1
249,9620,253,1,2,1,1
250,1925,254,1,1,1,1
251,5875,255,1,1,1,1
252,21584,256,3,3,1,1
253,14711,257,3,3,1,1
254,12500,258,1,1,1,1
255,61515,259,3,5,1,1
256,8534,260,0,1,1,1
257,14938,261,3,2,1,1
258,6303,262,1,1,1,1
259,77122,263,3,5,1,1
260,605,264,1,1,1,1
261,1319,265,1,1,1,1
262,11095,266,1,2,1,1
263,10267,267,1,2,1,1
264,5400,268,1,1,1,1
265,23097,269,3,3,1,1
266,0,270,1,1,1,1
267,4000,271,1,1,1,1
268,46473,272,3,4,1,1
269,120907,273,3,5,1,1
270,19019,274,3,3,1,1
271,67286,275,3,5,1,1
272,74993,276,3,5,1,1
273,2100,277,1,1,1,1
274,0,278,1,1,1,1
275,17108,279,0,1,1,1
276,0,280,1,1,1,1
277,12423,281,3,3,1,1
278,980,282,1,1,1,1
279,57642,283,3,5,1,1
280,4600,284,1,1,1,1
281,38740,285,3,4,1,1
282,8487,286,1,1,1,1
283,5300,287,1,1,1,1
284,36776,288,3,4,1,1
285,46349,289,3,4,1,1
286,68320,290,3,5,1,1
287,11326,291,3,2,1,1
288,57713,292,3,5,1,1
289,37459,293,3,4,1,1
290,67121,294,3,5,1,1
291,95082,295,3,5,1,1
292,84800,296,3,5,1,1
293,3875,297,1,1,1,1
294,0,298,1,1,1,1
295,39743,299,3,4,1,1
296,38408,300,3,4,1,1
297,20521,301,3,3,1,1
298,42141,302,0,4,1,1
299,0,303,1,1,1,1
300,750,304,1,1,1,1
301,7100,305,1,1,1,1
302,49198,306,3,4,1,1
303,28200,307,3,4,1,1
304,14750,308,3,3,1,1
305,52081,309,3,4,1,1
306,7478,310,1,1,1,1
307,8001,311,0,1,1,1
308,7572,312,1,2,1,1
309,2100,313,1,1,1,1
310,30476,314,3,4,1,1
311,37534,315,3,4,1,1
312,28765,316,3,4,1,1
313,119162,317,3,5,1,1
314,17819,318,3,3,1,1
315,9275,319,3,1,1,1
316,1000,320,1,1,1,1
317,3917,321,1,1,1,1
318,11398,322,3,1,1,1
319,6500,323,1,1,1,1
320,13544,324,3,3,1,1
321,32404,325,3,3,1,1
322,51399,326,3,4,1,1
323,21666,327,0,1,1,1
324,11930,328,1,3,1,1
325,258,329,1,1,1,1
326,11793,330,1,2,1,1
327,114329,331,0,5,1,1
328,63738,332,3,5,1,1
329,3875,333,1,1,1,1
330,66879,334,3,5,1,1
331,0,335,1,1,1,1
332,15672,337,3,3,1,1
333,0,338,1,1,1,1
334,44299,339,3,4,1,1
335,57313,340,3,4,1,1
336,37663,341,3,4,1,1
337,0,342,1,1,1,1
338,1500,343,1,1,1,1
339,24831,344,3,3,1,1
340,63960,345,3,4,1,1
341,15149,346,3,2,1,1
342,0,347,1,1,1,1
343,19140,348,1,1,1,2
344,1500,349,1,1,1,1
345,36532,350,3,4,1,1
346,17636,351,3,3,1,1
347,60447,352,3,5,1,1
348,37772,353,3,4,1,1
349,11268,354,1,1,1,1
350,1250,355,1,1,1,1
351,20802,356,3,3,1,1
352,100,357,1,1,1,1
353,0,358,1,1,1,1
354,14462,359,3,3,1,1
355,7491,360,1,2,1,1
356,3000,361,1,1,1,1
357,40108,362,3,4,1,1
358,0,363,1,1,1,1
359,3189,364,1,1,1,1
360,12200,365,0,1,1,1
361,140,366,1,1,1,1
362,38127,367,3,4,1,1
363,160,368,1,1,1,1
364,8612,369,1,2,1,1
365,500,370,1,1,1,1
366,1000,371,1,1,1,1
367,0,372,1,1,1,1
368,225,373,1,1,1,1
369,126941,374,3,5,1,1
370,6568,375,1,1,1,1
371,19407,376,0,3,1,1
372,62666,377,3,5,1,1
373,0,378,1,1,1,1
374,10574,379,3,2,1,1
375,29900,380,0,1,1,1
376,300,381,1,1,1,1
377,20853,382,3,3,1,1
378,0,383,1,1,1,1
379,36907,384,3,4,1,1
380,230629,385,0,5,1,1
381,15907,386,2,1,3,1
382,42293,387,3,4,1,1
383,66516,388,3,4,1,1
384,103456,389,4,5,1,4
385,18157,390,3,3,1,1
386,11665,391,1,2,1,1
387,28717,393,3,4,1,1
388,17855,394,3,3,1,1
389,1244,395,1,1,1,1
390,11402,396,1,2,1,1
391,20792,397,3,3,1,1
392,9044,398,2,1,2,1
393,140,399,1,1,1,1
394,7142,400,1,1,1,1
395,955,401,1,1,1,1
396,2000,402,1,1,1,1
397,0,403,1,1,1,1
398,1205,404,1,1,1,1
399,913,405,1,1,1,1
400,5471,406,1,2,1,1
401,1024,407,1,1,1,1
402,8510,408,1,2,1,1
403,0,409,1,1,1,1
404,102279,410,0,5,1,1
405,59858,411,3,5,1,1
406,0,412,1,1,1,1
407,6000,413,1,1,1,1
408,0,414,1,1,1,1
409,1296,415,1,1,1,1
410,25395,416,0,5,1,1
411,37723,417,3,4,1,1
412,66983,418,0,4,1,1
413,74340,419,3,5,1,1
414,0,420,1,1,1,1
415,10462,421,3,2,1,1
416,22831,422,3,3,1,1
417,240,423,1,1,1,1
418,16081,424,3,3,1,1
419,0,425,1,1,1,1
420,23866,426,0,1,1,1
421,500,427,1,1,1,1
422,3501,428,3,4,1,1
423,129330,429,3,5,1,1
424,62758,430,3,5,1,1
425,28731,431,3,4,1,1
426,9000,432,1,1,1,1
427,68007,433,3,5,1,1
428,2310,434,1,1,1,1
429,36269,435,3,4,1,1
430,0,436,1,1,1,1
431,0,437,1,1,1,1
432,1000,438,1,1,1,1
433,56567,439,3,5,1,1
434,4600,440,1,1,1,1
435,0,441,1,1,1,1
436,46588,442,3,4,1,1
437,141230,443,3,4,1,1
438,49383,444,3,4,1,1
439,1000,445,1,1,1,1
440,2030,446,1,1,1,1
441,24775,447,3,3,1,1
442,6000,448,1,1,1,1
443,6290,449,1,2,1,1
444,39010,450,3,3,1,1
445,12900,451,1,1,1,1
446,22873,452,3,3,1,1
447,100,453,1,1,1,1
448,23608,454,3,3,1,1
449,1759,455,1,1,1,1
450,40997,456,3,4,1,1
451,500,457,1,1,1,1
452,24155,458,3,3,1,1
453,61714,459,3,5,1,1
454,6498,460,1,1,1,1
455,0,461,1,1,1,1
456,15476,462,3,3,1,1
457,9018,463,1,2,1,1
458,28613,464,3,4,1,1
459,17078,465,3,3,1,1
460,4389,466,1,1,1,1
461,19946,467,3,3,1,1
462,9872,468,3,2,1,1
463,2522,469,1,1,1,1
464,2991,470,1,1,1,1
465,136619,471,3,5,1,1
466,60883,472,0,5,1,1
467,95531,473,3,5,1,1
468,3708,474,1,1,1,1
469,2100,475,1,1,1,1
470,125,476,1,1,1,1
471,4100,477,0,1,1,1
472,63463,478,3,5,1,1
473,11870,479,3,3,1,1
474,5021,480,1,1,1,1
475,40090,481,0,3,1,1
476,3982,482,1,1,1,1
477,25802,483,3,4,1,1
478,33047,484,3,4,1,1
479,21248,485,3,3,1,1
480,8253,486,1,2,1,1
481,23046,487,3,3,1,1
482,2500,488,1,1,1,1
483,6325,489,1,1,1,1
484,1250,490,1,1,1,1
485,18348,491,3,3,1,1
486,101101,492,3,5,1,1
487,4240,493,1,1,1,1
488,3800,494,0,1,1,1
489,13415,495,3,3,1,1
490,5000,496,1,1,1,1
491,9689,497,3,1,1,1
492,78186,498,0,5,1,1
493,0,499,1,1,1,1
494,37380,500,3,4,1,1
495,1250,501,1,1,1,1
496,8747,502,3,2,1,1
497,0,503,1,1,1,1
498,0,504,1,1,1,1
499,57354,505,3,5,1,1
500,11137,506,0,1,1,1
501,35528,507,3,4,1,1
502,0,508,1,1,1,1
503,97584,509,3,5,1,1
504,100,510,1,1,1,1
505,79837,511,3,5,1,1
506,32560,512,3,4,1,1
507,5172,513,1,1,1,1
508,100,514,1,1,1,1
509,3297,515,1,1,1,1
510,98959,516,3,5,1,1
511,10348,517,0,1,1,1
512,51197,518,3,4,1,1
513,5190,519,1,1,1,1
514,28075,520,3,4,1,1
515,63803,521,3,5,1,1
