Undergrad,Marital.Status,Taxable.Income,City.Population,Work.Experience,Urban,
NO,Single,68833,50047,10,YES,Risky
YES,Divorced,33700,134075,18,YES,Risky
NO,Married,36925,160205,30,YES,Risky
YES,Single,50190,193264,15,YES,Risky
NO,Married,81002,27533,28,NO,Risky
NO,Divorced,33329,116382,0,NO,Risky
NO,Divorced,83357,80890,8,YES,Risky
YES,Single,62774,131253,3,YES,Risky
NO,Single,83519,102481,12,YES,Risky
YES,Divorced,98152,155482,4,YES,Risky
NO,Single,29732,102602,19,YES,Not Risky
NO,Single,61063,94875,6,YES,Risky
NO,Divorced,11794,148033,14,YES,Not Risky
NO,Married,61830,86649,16,YES,Risky
NO,Married,64070,57529,13,YES,Risky
NO,Divorced,69869,107764,29,NO,Risky
YES,Divorced,24987,34551,29,NO,Not Risky
YES,Married,39476,57194,25,NO,Risky
YES,Divorced,97957,59269,6,NO,Risky
NO,Single,10987,126953,30,YES,Not Risky
YES,Single,88636,147222,26,NO,Risky
YES,Divorced,14310,29106,7,YES,Not Risky
YES,Divorced,78969,155342,14,NO,Risky
NO,Single,92040,50495,12,YES,Risky
NO,Divorced,38239,28495,30,NO,Risky
NO,Divorced,31417,124606,27,YES,Risky
YES,Divorced,55299,169128,15,NO,Risky
YES,Single,87778,28542,12,YES,Risky
YES,Single,10379,128766,5,YES,Not Risky
YES,Divorced,94033,41863,30,YES,Risky
YES,Divorced,73854,117788,0,YES,Risky
NO,Divorced,64007,147414,21,NO,Risky
YES,Married,97200,51911,23,NO,Risky
YES,Single,82071,157251,21,NO,Risky
YES,Divorced,12514,183767,1,YES,Not Risky
YES,Married,31336,41117,30,YES,Risky
YES,Married,10163,193995,5,YES,Not Risky
NO,Married,68513,66912,5,YES,Risky
NO,Single,14912,177575,3,NO,Not Risky
NO,Married,74010,54981,16,YES,Risky
NO,Single,50777,199697,26,YES,Risky
YES,Married,49436,91524,1,NO,Risky
NO,Single,96485,51666,12,NO,Risky
YES,Divorced,70339,50020,10,NO,Risky
YES,Divorced,33614,98880,22,NO,Risky
YES,Married,81079,183095,14,YES,Risky
YES,Married,31532,137346,27,YES,Risky
YES,Single,44034,34964,2,NO,Risky
NO,Married,16264,35480,12,NO,Not Risky
NO,Divorced,45706,160195,15,YES,Risky
YES,Single,79616,145804,3,YES,Risky
YES,Single,40137,174042,30,NO,Risky
NO,Single,97703,91828,23,NO,Risky
YES,Single,21917,139143,7,YES,Not Risky
NO,Divorced,81939,98207,23,NO,Risky
YES,Single,19925,89965,16,YES,Not Risky
NO,Married,34703,69832,25,YES,Risky
NO,Single,78573,70744,13,NO,Risky
YES,Single,10870,158047,15,NO,Not Risky
NO,Single,65065,102228,11,NO,Risky
YES,Married,94418,91138,23,NO,Risky
YES,Married,26972,86169,8,NO,Not Risky
NO,Divorced,91684,147684,13,YES,Risky
YES,Divorced,51685,95831,9,NO,Risky
YES,Single,62158,118261,15,NO,Risky
NO,Divorced,58312,194738,29,NO,Risky
YES,Married,42507,66985,12,YES,Risky
YES,Married,61486,173986,24,NO,Risky
NO,Single,10150,139642,5,NO,Not Risky
YES,Single,99619,86896,29,NO,Risky
YES,Divorced,89302,80904,3,YES,Risky
NO,Single,94287,105680,22,NO,Risky
YES,Divorced,41344,108300,27,YES,Risky
YES,Single,41382,174789,2,YES,Risky
NO,Divorced,32434,182319,17,NO,Risky
NO,Married,61105,50404,19,YES,Risky
YES,Married,67628,129164,11,NO,Risky
YES,Married,31458,118344,26,NO,Risky
YES,Divorced,73411,143153,0,NO,Risky
NO,Divorced,10329,140885,7,YES,Not Risky
NO,Married,44947,28184,26,NO,Risky
YES,Divorced,35610,121608,24,NO,Risky
NO,Divorced,66564,111068,26,YES,Risky
NO,Divorced,87348,73963,18,YES,Risky
NO,Married,69098,178083,4,YES,Risky
YES,Divorced,28449,125155,12,YES,Not Risky
YES,Divorced,39277,97520,29,YES,Risky
YES,Single,13747,64075,23,NO,Not Risky
NO,Married,86652,63896,24,YES,Risky
YES,Married,26741,176050,20,NO,Not Risky
NO,Divorced,77634,101232,29,NO,Risky
YES,Married,99325,73733,10,YES,Risky
NO,Divorced,85651,114621,13,NO,Risky
YES,Married,15296,137676,3,YES,Not Risky
NO,Single,10348,122705,6,YES,Not Risky
YES,Single,41395,121498,28,YES,Risky
NO,Single,22258,63622,17,NO,Not Risky
YES,Divorced,79583,37849,19,YES,Risky
YES,Married,22187,77053,18,YES,Not Risky
NO,Married,52495,114350,12,NO,Risky
YES,Single,93078,46444,25,NO,Risky
YES,Married,35072,50490,20,YES,Risky
YES,Divorced,32662,91488,23,NO,Risky
NO,Divorced,89250,76318,5,YES,Risky
NO,Single,41641,174423,14,NO,Risky
NO,Single,55873,46893,15,NO,Risky
YES,Single,19169,58535,20,YES,Not Risky
NO,Married,46629,52424,6,YES,Risky
YES,Married,51927,120894,10,YES,Risky
YES,Married,69224,178585,8,YES,Risky
NO,Single,24557,32450,19,YES,Not Risky
NO,Single,77762,164526,11,YES,Risky
YES,Single,96355,193038,26,YES,Risky
YES,Married,90910,100347,7,YES,Risky
NO,Single,21945,197934,7,NO,Not Risky
YES,Divorced,79357,78251,21,YES,Risky
NO,Married,42784,132570,12,NO,Risky
NO,Single,54638,96370,29,YES,Risky
NO,Divorced,29944,199174,10,NO,Not Risky
NO,Divorced,97318,47202,30,YES,Risky
YES,Single,52022,135886,11,YES,Risky
YES,Married,20391,86648,16,YES,Not Risky
YES,Married,21016,140762,26,NO,Not Risky
YES,Married,26679,79683,26,NO,Not Risky
YES,Divorced,70682,139324,13,NO,Risky
YES,Divorced,87326,155669,11,NO,Risky
YES,Divorced,15853,195022,3,YES,Not Risky
