,Cherry,Mango,Banana,Guava,Litchi,Wastage
0,33287,28957,30846,46212,40599,8431
1,40070,16184,4371,32152,31504,44170
2,17898,44512,16961,10806,23770,5892
3,48806,5574,5942,27381,17022,48721
4,30573,41675,45717,12568,38327,41220
5,8838,15401,4359,13634,24301,31596
6,29386,44302,38004,24379,27370,10419
7,39402,31456,29877,49938,28843,25796
8,44028,15924,18901,37912,8739,41763
9,11238,11052,33064,13642,38143,21278
10,11576,13056,35115,33922,24285,41230
11,7095,35036,47239,37943,45437,16463
12,40514,48745,14874,15682,43564,47307
13,5867,7437,41574,33977,43794,19927
14,44920,49875,25415,7219,22658,9060
15,9002,9618,10963,15665,48480,6488
16,40510,26316,32192,25507,34285,15262
17,46757,10638,29330,32861,32417,13534
18,38621,12359,10531,11152,44107,15986
19,12290,49848,24292,32604,20659,47458
20,12488,24537,24840,29947,13561,32586
21,27817,25645,23116,43768,33614,15147
22,47400,23492,20484,23427,30502,5027
23,6321,14398,8995,39157,33655,42890
24,28694,38151,1492,24195,41638,13779
25,10704,38943,22060,43924,49169,8177
26,26764,7072,35706,43647,31450,20078
27,8529,18512,12820,45236,45106,29712
28,31084,37118,1110,33322,18047,27447
29,44339,31589,13718,9157,48576,20278
30,38307,29990,41169,35257,15571,23967
31,37688,16846,32577,12210,43470,23336
32,29785,28989,34135,31136,18786,9861
33,21265,49221,46275,24201,42011,5269
34,25565,24775,3166,27154,30466,24126
35,31932,14154,11037,6141,19857,21185
36,39497,31474,27325,25775,12092,39537
37,40228,12300,2233,8952,46392,43321
38,45220,27832,29742,47731,46034,47415
39,41196,14351,24814,44728,48312,24073
40,10290,17049,22277,35344,40320,34593
41,6207,40005,31917,36830,11970,27138
42,27152,47731,34123,16600,6846,41982
43,16838,18863,24317,35727,13010,18108
44,23519,47570,9877,28979,21390,23028
45,43087,32936,24011,22197,7333,31246
46,34997,41576,42251,29899,12409,9220
47,39175,36982,16590,9724,27645,35991
48,13546,26644,30205,15440,32254,48229
49,36202,31214,27085,28657,18467,15373
50,35176,37673,16627,16966,31998,31771
51,37888,23181,18920,33512,26022,39439
52,9039,33800,32084,8770,25295,22165
53,16046,36678,16839,19400,45557,47754
54,45843,15036,21639,36048,40565,34337
55,23449,46945,25859,10852,47483,46292
56,29409,27780,10314,33645,25808,13925
57,45980,9044,18539,32561,5368,34267
58,15499,15435,22211,16065,43423,21592
59,36902,49445,23985,7238,40215,41842
60,31331,32482,1437,19366,41140,30393
61,44689,20226,9699,42367,23666,44601
62,18539,25878,4042,48937,33789,24321
63,49761,34396,40976,32321,44178,14384
64,35453,15320,13270,22115,17866,34242
65,8250,9927,42146,34442,13710,13956
66,8394,13572,20651,28511,16775,15544
67,15531,38702,10087,44802,36132,43476
68,49007,48615,16825,27438,22174,32108
69,31187,31191,9165,47995,25548,35037
70,23547,6528,5185,42496,44179,30347
71,31611,34994,43357,19057,25110,8087
