"cityCode","cityName","wellnessCentreCode","wellnessCentreName","wellnessCentreAddress","doctorCount","category","wellnessCentreContactNo","longitude","latitude"
"011","DELHI/NCR","999","Virtual Dispensary","NIC CGO COMPLEX","10","alopathic","NA","NA","NA"
"011","DELHI/NCR","AY19","Dev Nagar (Ayurvedic)","Double Storey Qtrs.No.141 Block No.12, (Opposite Mother Dairy) Dev Nagar, New Delhi-5.","2","ayurvedic","25860275","77.184028625488","28.654448"
"011","DELHI/NCR","AY3","Delhi Cantt (Ayurvedic)","Sadar Bazar, Delhi Cantt,Near Geeta Asharam,New Delhi-10","2","ayurvedic","25692914","77.120765686035","28.589346"
"011","DELHI/NCR","AY31","North Avenue (Ayur)","4-MP Flats, North Avenue, New Delhi","3","ayurvedic","23092794","77.199165344238","28.618547"
"011","DELHI/NCR","AY40","AYURVEDIC WC JUNG PURA","Q.No.46, 48, 50, 52, 56, Block No. 8, Jangpura, New Delhi","2","ayurvedic","011-24312213","77.245262145996","28.582367"
"011","DELHI/NCR","AY57","R.K.Puram-V,(Sec-12)","Qr. 810, 818 – 825, Sector – XII,  R.K. Puram, New Delhi","4","ayurvedic","011-26175146","77.175804138184","28.573278"
"011","DELHI/NCR","AY60","Kingsway Camp Ayurvedic","CGHS Wellness Centre KWC, New Police Line, Kingsway Camp, Delhi","3","ayurvedic","011-27459411","77.201965332031","28.698978"
"011","DELHI/NCR","AY61","Janak Puri-I (Ayurvedic)","C-4A, Janak Puri ,Besides Janakpuri Superspeciality Hospital, New Delhi-58","3","ayurvedic","25534868","77.089332580566","28.621658"
"011","DELHI/NCR","AY63","Sadiq Nagar","CGHS Wellness Centre, Sadiq Nagar Sector-3 (Near G.K. – I), N Delhi","2","ayurvedic","011-24623767","77.226783752441","28.554974"
"011","DELHI/NCR","AY65","AYURVEDIC WC MEHRAULI BADARPUR","CGHS Wellness Centre Building, Sector – 1, M.B. Road, N. Delhi","3","ayurvedic","011-29564988","77.220932006836","28.52314"
"011","DELHI/NCR","AY67","Laxmi Nagar Ayurvedic","2nd Floor, CGHS Building Laxmi Nagar,   H-Block, Vikas Marg (Near Metro Station),Laxmi Nagar, Delhi-110092","3","ayurvedic","011-22543108/ 22466544","77.277275085449","28.630713"
"011","DELHI/NCR","AY73","AYURVEDIC WC GURGAON SEC-5","409 / Sector-5, Gurgaon","2","ayurvedic","0124-4064496","77.020248413086","28.48208"
